"","PlayerName","Season","PuttingAverage","DrivingDistance","DrivingAccuracy","ScoringAvg","Scrambling","OnePutts","TwoPutts","ThreePutts","AvgOfficialWGR","ProximityToHole","GreensFringeInReg","SandSave","OfficialMoney"
"55","Bryce Molder",2010,1.766,278,63.16,70.35,40.19,579,798,40,1.72,424,76.24,54.01,1428438
"56","Jim Furyk",2010,1.767,276,71.01,70.23,46.34,528,751,31,6.44,405,75.51,48.04,4809622
"57","Dustin Johnson",2010,1.767,308.5,56.35,70.46,22.58,565,843,51,4.68,435,80.83,44.78,4473121
"58","Vaughn Taylor",2010,1.767,284.4,68.26,70.56,24.68,585,921,42,1.46,410,77.42,50.96,1838861
"59","Rich Barcelo",2010,1.768,287.6,52.8,71.69,32.35,445,664,27,0.23,434,76.43,48.94,188891
"60","Chris DiMarco",2010,1.768,279,70.13,70.36,40.51,585,875,38,0.31,413,76.99,50.37,409205
"61","Ernie Els",2010,1.768,288.4,60.16,70.37,34.55,485,727,30,4.98,434,79.22,48.44,4558861
"62","Ryan Moore",2010,1.768,289.7,67.99,70.68,31.91,560,805,39,2.82,417,75.99,45.8,2374823
"63","Alex Prugh",2010,1.768,295.7,58.4,70.51,22,579,916,41,0.76,427,79.83,52,1272606
"64","Rory Sabbatini",2010,1.768,289.1,60.28,71.17,32,545,752,59,1.54,437,76.79,58.94,1546808
"65","Jerod Turner",2010,1.768,279,61.66,72.13,21.05,330,463,26,0.24,459,67.26,44.44,91343
"66","Steve Flesch",2010,1.769,277.4,66.02,71.62,24.68,514,760,42,0.37,424,71.98,47.83,440374
"67","Blake Adams",2010,1.77,291.3,66.84,70.69,30.14,559,850,45,0.92,434,75.85,46.4,963592
"68","Robert Allenby",2010,1.77,289.1,64.75,70.53,27.27,493,769,46,3.76,427,77.37,55.56,2974997
"69","J.B. Holmes",2010,1.77,307.2,54.45,70.22,27.16,732,986,58,1.97,457,76.05,52.83,2386247
"70","Steve Marino",2010,1.77,290.6,61.96,70.99,31.82,545,847,51,1.45,434,78.93,41.67,1479239
"71","Jimmy Walker",2010,1.77,292.9,51.29,70.77,33.71,548,804,39,0.7,431,77.48,43.08,937986
"72","Stephen Ames",2010,1.771,282,66.47,70.51,32.91,507,775,32,1.37,418,77.26,57.26,916527
"73","David Duval",2010,1.772,286.9,57.08,71.59,20.27,462,735,30,0.83,412,76.64,44.21,919584
"74","Matt Every",2010,1.772,290.9,62.06,70.68,26.79,412,578,34,0.61,424,77.96,43.27,456847
"75","Michael Connell",2010,1.773,281.3,63.4,70.51,34.07,580,814,49,0.54,408,76.99,52.07,846459
"76","Steve Elkington",2010,1.773,289.2,68.01,70.03,36.84,465,722,23,0.91,431,78.28,50.55,955083
"77","K.J. Choi",2010,1.774,283.1,65.99,70.39,34.55,553,793,47,2.77,388,77.78,59.06,2199961
"78","Bill Haas",2010,1.774,293.3,64.17,70.22,22.45,582,927,43,2.26,413,77.28,44.52,2905136
"79","Chris Riley",2010,1.775,278.3,68.7,70.04,36.07,470,687,33,0.76,409,77.22,56.86,1001581
"80","Steve Wheatcroft",2010,1.775,287.1,64.12,71.57,21.79,462,677,40,0.45,431,71.94,53.39,408595
"81","Ricky Barnes",2010,1.776,285.5,58.37,70.47,26.51,706,NA,58,1.82,412,78.21,54.34,1835195
"82","Daniel Chopra",2010,1.776,295.9,51.27,71.85,26.26,527,751,36,0.34,458,70.72,46.09,311405
"83","James Nitties",2010,1.776,286.2,65.69,70.83,26.97,613,871,50,0.48,425,76.31,50.46,525033
"84","Joe Ogilvie",2010,1.776,285.9,59.32,70.96,30.53,648,952,46,0.46,438,76.92,52.26,641796
"85","Tim Petrovic",2010,1.776,278.7,67.37,70.72,35.16,719,NA,46,1.02,418,78.16,48.13,1028959
"86","Bo Van Pelt",2010,1.776,292,65.23,70.07,24.64,734,NA,60,2.81,418,79.64,54.74,3336257
"87","Stewart Cink",2010,1.777,292.4,63.98,70.55,25,548,835,44,2.81,426,78.28,45,1573635
"88","Jason Day",2010,1.777,298.2,57.78,70.43,21.92,568,833,52,3.13,442,78.5,54.81,2904326
"89","Stuart Appleby",2010,1.778,289,59.75,71.17,33.63,708,NA,46,1.89,429,71.48,49.11,1965824
"90","Aron Price",2010,1.778,284.6,67.23,70.26,29.69,427,675,41,0.43,412,79.7,57.61,713736
"91","Rickie Fowler",2010,1.779,292.7,64.19,70.35,18.52,675,NA,54,3.55,393,78.46,42.67,2857108
"92","Michael Letzig",2010,1.779,289.7,63.47,70.5,25.53,583,859,54,0.48,412,77.63,47.95,563728
"93","Kevin Stadler",2010,1.779,290.2,62.96,70.76,19.7,534,814,47,0.75,424,76.5,45.38,931720
"94","Brian Stuard",2010,1.779,286.9,63.09,71.25,33.66,519,778,44,0.36,420,76.75,45.6,536497
"95","Garrett Willis",2010,1.78,280.2,70.44,70.7,23.38,516,826,47,0.78,425,77.12,46.9,871762
"96","Nathan Green",2010,1.781,279.5,61,71.28,28.95,628,860,43,0.75,447,74.59,57.23,636179
"97","Andres Romero",2010,1.781,296,55.05,70.75,27.4,515,731,45,1.05,434,74.15,47.46,979169
"98","Scott McCarron",2010,1.782,288.6,67.36,70.53,31.17,636,920,44,0.52,453,74.7,51.8,642542
"99","Lucas Glover",2010,1.783,295.7,62.84,71.03,29.09,490,780,48,2.41,426,80.64,54.62,1511275
"100","Tom Pernice Jr.",2010,1.785,280,66.95,70.43,27.59,431,702,37,0.53,397,77.65,54.32,662729
"101","Woody Austin",2010,1.786,281.1,66.48,70.67,27.03,608,920,59,0.71,407,76.18,43.54,727351
"102","Brian Davis",2010,1.786,278.9,68.35,71.15,30.12,733,999,59,1.86,417,71.59,54.21,1640515
"103","Martin Flores",2010,1.786,300.7,50.15,71.39,23.81,481,732,45,0.23,460,77.22,51.75,318673
"104","Robert Garrigus",2010,1.786,315.5,55.73,70.82,19.64,430,686,47,1.16,404,77.87,37.25,1583275
"105","Chris Tidland",2010,1.786,288.1,63.08,70.91,27.12,493,752,44,0.62,444,72.67,50,588290
"106","Johnson Wagner",2010,1.786,282.4,62.59,70.92,26.74,555,841,50,0.45,418,78.19,50.79,753802
"107","James Driscoll",2010,1.787,293.9,56.96,70.64,27.91,530,823,34,0.44,457,79.77,53.08,500624
"108","Joe Durant",2010,1.787,285.6,75.94,69.81,35.9,391,665,34,0.58,379,81.06,41.1,788754
"109","John Daly",2010,1.788,305.7,52.21,71.21,19.61,361,568,43,0.23,420,75.87,50.55,158586
"110","Brenden Pappas",2010,1.788,288.4,54.94,71.23,11.48,405,659,34,0.07,422,80.13,52.04,133584
"111","Skip Kendall",2010,1.789,279.5,69.63,71.14,43.28,352,515,23,0.26,441,73.25,41.67,304439
"112","Brett Quigley",2010,1.79,283.2,60.26,70.69,24.32,609,NA,55,0.51,418,81.03,52.21,497296
"113","Vijay Singh",2010,1.79,292.3,63.28,70.69,33.33,487,775,57,1.63,408,78.18,51.91,1334262
"114","D.J. Trahan",2010,1.79,301.1,61.4,70.37,23.33,582,993,62,1.23,413,80.86,48.25,1619693
"115","J.J. Henry",2010,1.791,292.8,65.07,70.48,27.54,541,926,34,0.79,435,78.16,38.24,1035688
"116","Lee Janzen",2010,1.791,287.7,59.91,70.81,25.93,521,797,49,0.5,416,76.91,50.74,603195
"117","John Mallinger",2010,1.791,280.4,69.34,71.01,23.19,528,776,47,0.87,402,75.92,53.24,684686
"118","Josh Teater",2010,1.791,293.1,63.69,70.86,22.47,654,NA,58,0.81,419,79.93,49.16,1005322
"119","Marc Leishman",2010,1.792,295,58.37,70.83,23.17,600,892,59,1.5,413,76.92,49.32,1488837
"120","Richard Johnson",2010,1.793,277.3,70.92,70.68,29.73,536,882,41,0.94,409,77.97,39.83,678514
"121","Jerry Kelly",2010,1.793,279,70.5,70.8,34.62,610,NA,57,1.22,414,75.51,52.35,1136897
"122","Jeff Maggert",2010,1.793,279.1,67.55,71.09,20.34,458,705,46,0.6,413,75.12,41.67,801578
"123","Chad Campbell",2010,1.794,285.1,69.01,70.46,29.27,597,NA,46,1.16,392,80.34,52.67,971153
"124","Martin Laird",2010,1.794,296.5,60.27,70.82,27.17,610,951,63,2.65,421,78.02,51.61,2137927
"125","Derek Lamely",2010,1.794,294,54.84,71.38,29.07,522,767,44,0.89,456,71.15,47.92,972961
"126","John Rollins",2010,1.794,295.5,64.58,70.43,26.09,533,845,58,1.13,439,77.08,45.04,1182735
"127","Jeev Milkha Singh",2010,1.794,287.3,60.94,70.34,32.08,364,535,26,1.09,419,75.45,47.19,420245
"128","Rory McIlroy",2010,1.795,300,62.64,70.94,33.33,366,531,30,5.69,426,79.39,52.48,2554279
"129","Jonathan Byrd",2010,1.796,290.9,61.54,70.13,38.1,562,892,55,1.34,414,79.12,53.85,1534981
"130","Tim Herron",2010,1.796,291.7,53.49,70.91,32.18,510,754,39,0.32,434,77.76,44.66,391502
"131","John Merrick",2010,1.796,291.4,66.71,70.72,32.5,650,NA,60,0.6,417,80.04,52.35,658815
"132","Steve Lowery",2010,1.797,286.2,61.9,71.87,20.29,399,685,41,0.08,438,72.46,39.52,118602
"133","Hunter Mahan",2010,1.797,291.8,67.94,70.64,24,561,876,55,4.19,429,77.4,45.75,3574549
"134","Camilo Villegas",2010,1.797,289.6,61.66,70.9,26,499,736,48,3.2,415,76.44,50.83,3035522
"135","Kevin Johnson",2010,1.798,276.5,63.85,72.48,20.69,371,596,29,0.18,446,71.29,43.43,69806
"136","Angel Cabrera",2010,1.799,304.5,54.49,71.17,24.53,424,658,39,2.45,455,76.49,45.05,1266439
"137","Ted Purdy",2010,1.799,290.8,60.61,71.64,14.68,549,869,47,0.29,458,73.23,47.45,307677
"138","Adam Scott",2010,1.799,294.4,62.93,70.84,27.78,438,721,52,3.67,409,80.37,53.04,2489401
"139","Kevin Sutherland",2010,1.799,287.9,66.89,70.16,40.24,536,948,45,0.81,425,81.58,55.77,818681
"140","Michael Bradley",2010,1.8,281.5,60.37,70.69,30.26,482,774,44,0.32,410,78.44,50,360844
