"","PlayerName","Season","PuttingAverage","DrivingDistance","DrivingAccuracy","ScoringAvg","Scrambling","OnePutts","TwoPutts","ThreePutts","AvgOfficialWGR","ProximityToHole","GreensFringeInReg","SandSave","OfficialMoney"
"235","Anthony Kim",2011,1.762,294.2,46.99,71.18,35.71,529,689,41,1.86,457,77.61,54.4,1085845
"236","Charley Hoffman",2011,1.763,299.8,60.34,70.86,29.49,610,965,54,1.76,429,77.84,43.21,1462590
"237","Sung Kang",2011,1.763,294.2,61.82,70.9,34.29,404,611,32,1.12,421,76.47,47.5,702382
"238","Arjun Atwal",2011,1.767,284.8,56.31,71.44,31.2,656,906,48,0.73,438,75.91,53.7,690236
"239","Keegan Bradley",2011,1.767,300.7,61.5,70.63,34.74,597,906,43,3.26,427,76.68,39.31,3758599
"240","Angel Cabrera",2011,1.767,301.6,54.97,71.02,17.02,334,461,27,1.3,440,78.53,39.78,628079
"241","David Mathis",2011,1.767,282,66.82,70.83,29.11,563,769,40,0.65,407,73.16,50.39,715404
"242","Jonathan Byrd",2011,1.768,291.6,60.33,70.57,35.63,572,854,30,2.38,429,75.72,50.35,2938920
"243","Hunter Haas",2011,1.768,288.5,63.76,70.64,26.37,652,942,45,0.87,430,75.31,56.21,1039986
"244","Steve Marino",2011,1.768,295.2,60.98,70.71,30,547,751,52,1.66,439,77.13,41.09,1975076
"245","Jeff Overton",2011,1.768,295.3,60.46,71,18.06,620,953,45,1.91,447,76.07,44.24,1290961
"246","Chez Reavie",2011,1.769,293.5,67.32,70.61,25,621,954,61,2.05,403,77.98,43.71,2285066
"247","Kyle Stanley",2011,1.769,304.6,59.52,70.32,25,606,917,69,1.19,417,78.45,41.61,1523657
"248","Woody Austin",2011,1.77,287.6,66.21,70.64,25,393,520,35,0.35,398,78.69,58.11,354042
"249","Kevin Kisner",2011,1.771,284.3,60.96,71.64,23.08,452,662,25,0.42,449,70.64,42.73,270170
"250","Camilo Villegas",2011,1.771,294.4,57.98,71.4,40.54,478,690,39,1.71,429,75.54,45.71,1231917
"251","Matt Bettencourt",2011,1.772,288.3,56.51,71.52,27.03,589,853,46,0.57,445,77.56,46.2,692544
"252","Ryan Palmer",2011,1.772,299.5,53.76,70.9,26.92,590,793,40,1.93,450,76.71,51.18,1850530
"253","D.A. Points",2011,1.772,287.4,66.45,70.81,21.33,643,891,52,1.38,439,74.7,50,2034155
"254","Adam Scott",2011,1.772,299.7,63.98,70.24,27.08,415,593,43,5.5,429,79.28,55.66,3764796
"255","Jimmy Walker",2011,1.772,298.8,53.13,70.66,33.66,574,777,43,1.08,441,75.43,50,1336555
"256","Michael Bradley",2011,1.773,290.7,57.03,70.77,21.79,445,768,33,0.63,420,78.6,32.67,935934
"257","Tim Herron",2011,1.773,291.8,57.29,70.71,33.67,576,823,42,0.63,440,76.08,46.56,909134
"258","Ben Martin",2011,1.773,289.5,63.43,71.24,24.69,476,730,38,0.26,439,75.04,38.68,340080
"259","Scott Piercy",2011,1.773,305.4,56.81,70.83,27.03,526,741,48,1.05,427,77.38,41.18,1250957
"260","Nate Smith",2011,1.773,281.2,60.98,71.53,30.68,439,602,26,0.23,437,72.99,53.06,154814
"261","Cameron Beckman",2011,1.774,284.3,61.05,71.11,21.51,480,664,49,0.39,425,75.7,48.54,455085
"262","Tommy Gainey",2011,1.774,296.7,58.97,70.79,25.4,687,NA,64,1.66,414,78.35,47.2,2174191
"263","Bio Kim",2011,1.774,296.1,52.87,71.68,21.36,475,634,40,0.47,477,73.28,50,345588
"264","Nick O'Hern",2011,1.774,276.3,71.67,70.72,35.9,579,883,46,1.32,412,74.82,49.62,940224
"265","Michael Thompson",2011,1.774,291,60.14,70.7,33.33,519,733,41,1.34,419,74.59,49.48,935265
"266","Jason Bohn",2011,1.775,284.9,67.48,70.73,24.66,491,713,43,0.54,402,75.75,50,411943
"267","Bill Haas",2011,1.775,296.6,63.59,70.11,30,608,981,49,3.43,445,79,43.86,4088636
"268","Aron Price",2011,1.775,282.6,70.29,70.6,29.03,351,541,33,0.37,415,74.56,44.44,333290
"269","Retief Goosen",2011,1.776,289.9,61.44,70.76,28,341,501,27,2.53,415,72.79,58.75,796360
"270","Robert Karlsson",2011,1.776,299.2,56.78,70.64,26.53,429,589,33,3.55,433,76.12,54.05,1779815
"271","Graeme McDowell",2011,1.776,289.5,66.31,71.19,18.75,321,485,30,4.55,418,76.77,51.28,1088898
"272","Ryuji Imada",2011,1.777,283.4,60.36,71.01,26.44,592,840,44,0.79,445,73.39,49.32,990318
"273","Jerry Kelly",2011,1.777,275.6,73.3,70.24,40,566,815,39,1.34,420,74.33,55.97,1451797
"274","Tim Petrovic",2011,1.777,280.5,64.73,71.09,26.67,610,844,36,0.45,440,71.24,47.37,428011
"275","Dean Wilson",2011,1.777,276.8,65.27,71.1,30.77,453,624,24,0.53,414,73.67,51.81,401314
"276","Scott McCarron",2011,1.778,291.6,64.63,71.09,31.88,450,599,33,0.42,479,72,42.99,436269
"277","Phil Mickelson",2011,1.778,299.8,53.2,70.21,33.9,547,772,48,4.47,422,78.88,52.17,3763488
"278","Garrett Willis",2011,1.778,279.7,67.85,71.31,40.85,483,701,42,0.52,432,72.09,41.44,526390
"279","Chris DiMarco",2011,1.779,277.9,66.67,70.83,30.39,629,911,45,0.49,408,74.4,50.38,761931
"280","Sergio Garcia",2011,1.779,299.2,58,70.23,16.67,414,644,25,3.87,428,79.51,52.17,1524091
"281","Fabian Gomez",2011,1.779,288.4,63.08,71.4,31.18,500,797,45,0.27,435,77.4,43.7,381730
"282","Josh Teater",2011,1.779,302.3,61.48,70.87,29,647,NA,52,0.59,434,78.12,46.2,769324
"283","Y.E. Yang",2011,1.779,290.2,62.23,70.8,45.24,435,587,28,2.84,411,71.01,52.38,2314864
"284","Troy Matteson",2011,1.78,300.2,58.83,70.95,15.38,583,910,49,0.65,422,75.46,37.68,946989
"285","Rod Pampling",2011,1.78,291.6,66.7,70.49,45.45,449,648,35,0.52,440,77.05,57.63,668767
"286","Charl Schwartzel",2011,1.78,297,61.73,70.5,25.58,391,574,33,5.06,451,76.45,47.92,2604558
"287","Jim Furyk",2011,1.781,281.4,68,70.57,32.89,572,916,43,2.73,397,77.51,53.45,1529690
"288","Spencer Levin",2011,1.781,286.3,63.53,70,32.14,726,NA,44,1.7,414,79.27,45.45,2320037
"289","Paul Stankowski",2011,1.781,283.9,59.05,71,23,518,729,35,0.29,433,74.75,61.17,290211
"290","Brendan Steele",2011,1.781,292.8,64.83,70.98,25.29,583,922,40,1.35,414,75.86,52.05,1976309
"291","Roland Thatcher",2011,1.782,293.1,61.16,71.36,28.21,495,663,41,0.58,434,75.61,51.82,666371
"292","Mark Wilson",2011,1.782,284.8,67.63,70.55,35.71,614,887,45,2.2,414,75.46,55.19,3158476
"293","Jason Dufner",2011,1.783,286.8,65.81,70.36,27.08,527,808,51,3.21,392,75.77,54.07,3057859
"294","David Duval",2011,1.783,296.3,51.88,71.85,31.25,471,684,41,0.33,428,77.48,37.27,400654
"295","Robert Garrigus",2011,1.783,313.4,52.97,70.95,29.17,564,856,52,1.55,419,78.08,40.94,1503922
"296","Stewart Cink",2011,1.784,291.8,56.58,71,20.75,455,673,37,1.29,415,74.23,52.63,909162
"297","Ben Crane",2011,1.784,284.9,67.06,70.44,23.73,519,739,42,2.42,425,71.8,47.27,1679594
"298","Padraig Harrington",2011,1.784,294.7,52.98,70.88,33.33,429,588,35,1.74,436,77.98,50.59,802839
"299","Justin Rose",2011,1.784,290.6,63.27,70.45,31.58,510,811,50,3.84,426,80.65,58.16,3401419
"300","Kevin Chappell",2011,1.785,295.8,59,71.14,23.53,513,724,43,1.13,416,76.39,53.96,1339639
"301","Marc Leishman",2011,1.785,296,54.41,71.07,27.27,600,893,47,1.06,438,76.82,51.59,916329
"302","Bubba Watson",2011,1.785,314.9,56.92,70.56,27.27,521,841,52,3.69,432,82.83,38.71,3477810
"303","Alex Cejka",2011,1.786,280.3,66.42,71.25,20.45,387,620,33,0.62,397,73.35,51.33,344901
"304","John Merrick",2011,1.786,297.2,67.31,70.11,37.5,420,660,42,0.5,424,79.76,42.05,704788
"305","Tag Ridings",2011,1.786,303.3,56.99,71.16,23.15,560,845,37,0.32,450,77.33,45.28,382669
"306","Kevin Stadler",2011,1.786,293.2,63.25,71.01,11.54,524,853,45,0.54,403,78.84,36.21,768172
"307","Stephen Ames",2011,1.787,283.8,67.44,70.87,36.51,459,659,38,0.53,404,72.18,48.04,547588
"308","K.J. Choi",2011,1.787,285.6,61.99,70.52,40,504,779,42,4.31,411,76.58,55.65,4434690
"309","Bill Lunde",2011,1.787,291.5,61.11,70.7,21.95,588,929,58,0.59,426,82.42,51.69,639548
"310","John Rollins",2011,1.787,296.7,66.84,70.4,30.43,540,885,53,1.05,409,79.27,44.63,1370566
"311","Chris Stroud",2011,1.787,291.2,60.03,70.6,28.57,574,869,55,0.88,411,77.1,49.17,1096498
"312","Nathan Green",2011,1.788,285,59.44,71.22,25.3,563,750,50,0.34,452,72.61,49.29,312109
"313","Rory Sabbatini",2011,1.788,292.5,56.74,70.71,31.43,544,846,43,1.99,423,80.94,52.98,2420655
"314","Kevin Streelman",2011,1.788,289.2,63.72,70.69,34.29,636,928,44,1.31,420,75.41,48.06,1300005
"315","Andres Gonzales",2011,1.789,293.1,61.49,71.42,24.68,360,534,32,0.32,412,75.62,37.35,186846
"316","Bo Van Pelt",2011,1.789,297.4,63.59,70.3,35.29,617,924,64,3.37,427,78,52.32,2344545
"317","Charles Howell III",2011,1.79,297.3,57.51,69.85,38.61,708,NA,54,1.87,443,81.44,54.19,2509223
"318","Cameron Tringale",2011,1.79,294.3,60.99,70.65,27.64,713,NA,57,0.92,458,78.6,43.26,1327807
"319","Harrison Frazar",2011,1.791,301.8,51.49,71.45,32.65,399,592,40,1.19,423,75.72,42.16,1322266
"320","Billy Horschel",2011,1.791,291,66.22,71.2,27.78,460,725,40,0.5,435,77.86,50,533023
"321","Trevor Immelman",2011,1.791,288.5,61.74,70.62,31.4,546,918,35,1.34,431,78.84,52.99,1165603
"322","Billy Mayfair",2011,1.791,283.3,70.41,70.41,21.67,611,927,59,0.51,422,75.37,50.36,780577
"323","Scott Stallings",2011,1.791,303.7,56.91,71.04,30.38,525,819,50,1.23,407,78.32,31.48,1957161
"324","Brandt Jobe",2011,1.792,298.5,65.87,70.33,27.16,640,NA,58,1.35,397,79.25,55.17,1629763
"325","Colt Knost",2011,1.792,279,66.02,71.65,26.32,501,782,30,0.38,442,71.11,39.5,296817
"326","Martin Piller",2011,1.792,292.2,54,72.43,28.75,401,612,33,0.23,450,75.51,44.44,140957
"327","Johnson Wagner",2011,1.792,282.2,67.35,70.75,33.33,525,807,43,0.8,435,76.1,44.19,1224555
"328","Paul Goydos",2011,1.793,274.8,69,71.62,30.68,551,843,45,1.08,384,72.02,38.84,1385327
"329","Gary Woodland",2011,1.793,310.5,58.07,70.11,36.36,606,980,65,2.71,426,79.26,42.62,3448590
"330","D.J. Brigman",2011,1.794,290.2,55.27,71.72,23.91,422,586,40,0.23,452,73.68,56.38,191491
"331","James Driscoll",2011,1.794,298.5,55.79,71.18,26.19,447,662,39,0.47,462,74.31,42.86,741009
"332","David Hearn",2011,1.794,290.9,63.36,70.4,28,539,844,42,0.7,404,80.96,53.68,869071
"333","William McGirt",2011,1.794,289.9,60.78,70.6,28.09,657,NA,49,0.37,430,80.36,52.03,532932
"334","Stuart Appleby",2011,1.795,287.5,58.2,71.65,21.11,454,665,34,1.07,434,74.86,53.21,657150
"335","Kent Jones",2011,1.796,285,66.13,71.04,35.56,464,754,45,0.29,423,77.22,39.47,360623
"336","Michael Putnam",2011,1.796,297.2,54.72,71.15,21.05,442,652,30,0.5,449,75.68,55.36,398399
"337","John Senden",2011,1.796,293.3,66.82,70.28,26.03,591,NA,46,2.91,425,79.68,41.1,2294811
"338","Vijay Singh",2011,1.796,294.3,59.67,70.68,27.54,548,809,53,2.14,409,76.26,54.61,2371049
"339","Kris Blanks",2011,1.798,284.9,63.11,70.65,26.47,577,961,58,1.07,401,80.81,44.06,1350010
"340","Derek Lamely",2011,1.798,297.9,50.57,72.14,23.01,405,654,48,0.22,456,79.15,44.32,301145
"341","Davis Love III",2011,1.798,298.5,59.45,70.76,25,447,774,36,1.34,399,78.35,38.66,1056299
"342","Jim Renner",2011,1.798,296.8,59.1,71.09,26.87,405,575,36,0.29,426,77.07,44.29,392945
"343","Heath Slocum",2011,1.798,281.9,74.92,70.64,26.32,535,989,47,1.13,383,77.36,45.36,767216
"344","Briny Baird",2011,1.799,289.1,68.74,70.37,33.33,349,577,33,0.63,408,76.3,45.07,942285
"345","J.J. Henry",2011,1.8,291.1,66.43,70.72,30.93,574,NA,41,0.78,452,80.49,40.83,873377
"346","Robert Allenby",2011,1.803,290.2,62.91,70.69,25,554,865,61,2.24,427,78.66,51.66,1452567
"347","Ricky Barnes",2011,1.803,293.3,58.55,70.9,26.87,522,812,50,1.32,416,74.57,44.44,951586
"348","Ben Curtis",2011,1.803,276.7,71.91,70.91,33.33,454,687,38,0.58,415,73.91,53.61,423466
"349","J.P. Hayes",2011,1.803,282.7,64.36,71.91,37.25,382,538,38,0.24,427,71.9,48.94,186769
"350","Steve Elkington",2011,1.804,285.4,69.58,71.16,33.33,337,536,22,0.43,449,76.29,48.19,176225
"351","Bobby Gates",2011,1.806,297.4,60.1,71.43,21.13,479,791,48,0.46,439,74.96,37.19,666734
"352","Justin Leonard",2011,1.806,280.1,65.29,71.1,29.36,572,852,39,0.89,416,76.64,52.99,952962
"353","Alex Prugh",2011,1.808,298.6,57.35,71.85,23.08,480,864,44,0.23,412,80.45,34.56,292069
"354","Marc Turnesa",2011,1.808,282.8,62.93,71.72,18,329,561,31,0.27,419,76.04,47.76,299405
"355","Michael Connell",2011,1.809,279.5,65.79,71.26,33.33,529,782,41,0.27,420,73.5,42.48,309361
"356","Chad Campbell",2011,1.812,291.1,63.31,70.4,29.07,627,NA,69,1.06,386,80.96,41.48,1104023
"357","Rocco Mediate",2011,1.813,275.5,68.91,72.68,21.67,352,555,37,0.35,439,69.34,37.78,136298
"358","Zack Miller",2011,1.813,299.5,57.06,71.84,26.72,562,831,61,0.28,442,72.66,51.7,427340
"359","Chris Riley",2011,1.813,279.3,70.19,70.97,28.57,484,747,44,0.4,420,74.15,58.18,397203
"360","Sean O'Hair",2011,1.814,294.6,55.78,71.29,24.1,466,736,42,1.83,427,78.35,48,1483947
"361","Ernie Els",2011,1.815,288.1,60.1,71.2,26.23,406,783,39,2.37,416,82.68,39.5,948872
"362","Will Strickler",2011,1.815,304.1,57.38,72.04,25,328,463,39,0.08,467,70.56,38.36,109030
"363","Richard Johnson",2011,1.816,276.6,63.46,71.81,28.38,377,630,24,0.4,434,72.18,38.71,212105
"364","Shaun Micheel",2011,1.816,286.1,55.71,71.69,31.52,501,748,47,0.32,432,76.15,56.3,206450
"365","Jarrod Lyle",2011,1.818,286.1,58.86,71.55,22.64,556,790,61,0.43,453,72.84,49.66,317458
"366","D.J. Trahan",2011,1.819,298.6,59.81,70.7,20.29,578,969,67,0.79,418,76.81,50.75,668165
"367","Jhonattan Vegas",2011,1.82,304.9,54.65,70.88,25.56,522,828,70,1.47,459,78.72,40.56,1854414
"368","Daniel Summerhays",2011,1.824,284.9,62.83,72.25,25.26,488,771,46,0.39,446,74.8,46.67,301899
"369","Joseph Bramlett",2011,1.826,295.6,59.54,71.48,27.78,422,672,53,0.09,442,75.37,42.71,178727
"370","Scott Gutschewski",2011,1.827,298,58.06,71.58,28.95,389,608,44,0.3,430,73.7,47.41,229758
"371","Troy Merritt",2011,1.828,286.8,62.04,71.87,15.71,408,635,43,0.19,444,75.38,44.3,151474
"372","Tom Gillis",2011,1.83,290.1,64.11,71.47,25.76,356,571,48,0.79,414,76.06,57.14,814147
"373","Jim Herman",2011,1.831,301.7,56.98,71.1,31.75,373,664,45,0.24,426,79.42,30.49,196844
"374","Boo Weekley",2011,1.836,296.6,66.74,70.8,12.2,372,671,66,0.3,416,80.62,44,279530
"375","Rich Beem",2011,1.838,286.1,63.87,72.87,21.67,346,563,36,NA,447,72.25,40.26,135225
"376","Joe Durant",2011,1.847,283.6,75.65,71.27,31.11,418,754,62,0.4,387,78.54,46.88,358790
"377","Alexandre Rocha",2011,1.849,290.9,62.23,71.35,24.19,334,639,43,0.2,446,79.23,32.89,225025
"378","Justin Hicks",2011,1.862,286,69.88,72.35,19.64,327,549,56,0.25,424,74.21,32.5,284990
"379","Jonas Blixt",2012,1.718,286.3,58.9,70.14,17.46,556,662,24,1.89,429,75.17,65.44,2255695
"380","Brandt Snedeker",2012,1.725,288.7,60.5,70.1,30.99,622,730,32,5.23,425,76.71,57.86,4989739
"381","Zach Johnson",2012,1.726,281.1,68.53,70.2,33.33,721,913,41,4.25,421,73.69,57.24,4504244
"382","Greg Chalmers",2012,1.733,282,62,70.91,34.38,678,834,28,2.02,451,69.95,65.24,1166627
"383","Webb Simpson",2012,1.735,288.6,61.47,70.14,30,549,765,35,5.13,424,76.76,51.24,3436758
"384","Rory McIlroy",2012,1.738,310.1,56.61,69.63,34.29,397,532,30,13.22,397,79.21,56.16,8047951
"385","Bo Van Pelt",2012,1.738,296.1,64.79,70.23,28.85,603,832,40,4.41,406,77.17,48.12,3043509
"386","Graeme McDowell",2012,1.739,285.5,70.11,70.91,13.89,384,558,21,4.81,397,76.42,33.33,2408279
"387","Ben Crane",2012,1.74,286.8,64.36,70.74,36.99,534,705,42,1.74,444,73.38,54.61,1701364
"388","Carl Pettersson",2012,1.74,297.1,57.63,70.37,34.26,691,912,33,3.34,422,77.57,56.71,3538655
"389","Ryan Moore",2012,1.742,287.6,65.75,70.54,32.05,648,880,51,2.76,415,76.35,52.74,2858943
"390","John Daly",2012,1.743,306.7,55.78,71.15,22,334,466,21,0.9,438,75.07,45.31,488505
"391","Aaron Baddeley",2012,1.744,292,54.3,71.56,26.32,573,676,32,1.8,459,71.04,58.33,1215753
"392","Daniel Chopra",2012,1.745,295.6,47.27,71.85,21.13,372,513,20,0.57,456,77.74,53.75,192198
"393","Luke Donald",2012,1.745,280.1,65.16,70.35,41.86,446,633,21,8.62,416,73.36,56.48,3512023
"394","Jeff Overton",2012,1.745,292,61.91,70.23,27.16,728,960,44,1.55,436,77.66,44.94,1563670
"395","Brian Davis",2012,1.746,277.1,67.24,70.98,28.26,645,863,38,1.23,423,74.48,51.68,1318031
"396","Phil Mickelson",2012,1.747,294.4,54.31,70.44,32.79,608,757,43,4.69,450,77.96,55.07,4203821
"397","Scott Piercy",2012,1.747,304.5,56.06,70.49,23.68,698,933,54,2.71,425,77.72,48.92,2699205
"398","Steve Stricker",2012,1.747,285.4,63.31,70.1,28.07,491,729,27,4.65,386,77.21,47.62,3420021
"399","Ken Duke",2012,1.748,282.6,65.69,70.37,28.17,745,974,57,1.13,423,74.1,45.88,1511628
"400","Sangmoon Bae",2012,1.749,289.8,58.08,72.08,22.97,555,762,44,1.99,453,70.42,45.33,1165952
"401","James Driscoll",2012,1.749,291.1,51.32,71.25,30,579,800,32,0.51,472,74.47,47.9,687338
"402","Padraig Harrington",2012,1.749,293.6,59.86,70.54,36.17,475,614,29,2.09,421,73.52,59.41,1546271
"403","Y.E. Yang",2012,1.749,284.9,61.06,71.76,32.73,479,597,30,1.51,456,68.87,50.83,454276
"404","Tommy Gainey",2012,1.75,297.2,55.63,71.57,26.89,711,976,54,1.28,428,73.32,49.46,1540748
"405","Matt Kuchar",2012,1.752,286.2,65.06,70.04,34.43,606,821,30,4.44,411,76.99,60.14,3903064
"406","Kevin Na",2012,1.753,281.5,65.91,70.87,22.58,587,781,30,1.99,434,70.29,54.03,2029942
"407","Ryan Palmer",2012,1.753,303.1,57.95,70.57,31.51,594,808,38,1.37,426,76.07,47.02,1501214
"408","Charlie Wi",2012,1.753,285.6,61.65,71.2,20.83,643,838,34,1.49,433,71.27,44.65,1845396
"409","Tom Gillis",2012,1.754,289,66.09,70.96,26.09,560,729,44,1.18,445,74.78,53.74,1238058
"410","Brian Harman",2012,1.754,290.3,65.44,70.93,19.32,742,NA,50,1.09,414,71.91,50,1146447
"411","Spencer Levin",2012,1.755,283.7,57.3,71.25,26.74,580,792,33,1.24,461,74.53,50,1283616
"412","Jason Day",2012,1.756,308.6,52.48,70.82,26,422,521,33,2.89,442,75.62,54.37,1143232
"413","Jason Dufner",2012,1.756,292.4,66.9,69.89,39.13,589,825,47,5.29,396,79.32,56.69,4869303
"414","Louis Oosthuizen",2012,1.756,299.5,62.41,70.32,31.48,415,674,31,6.14,418,79.01,44.23,3460995
"415","Matt Every",2012,1.757,285.5,60.89,70.88,27.5,550,753,46,1.31,415,75.39,56.1,1972165
"416","Keegan Bradley",2012,1.758,302.7,61.65,70.33,29.69,640,858,59,5,422,76.9,55.3,3910658
"417","Bob Estes",2012,1.758,285.2,60.72,70.92,34.52,572,785,28,1.08,422,76.36,45.45,1009769
"418","Brian Gay",2012,1.76,277.7,62.1,70.71,34.86,654,860,23,0.57,420,73.94,62.32,960657
"419","Jimmy Walker",2012,1.76,296.5,52.74,70.65,37.38,705,NA,44,1.37,455,77.36,52.66,1638419
"420","Tiger Woods",2012,1.761,297.4,63.93,69.78,37.21,483,676,34,8.53,403,77.13,49,6133158
"421","Ben Curtis",2012,1.762,274.8,69.7,70.68,36,391,626,20,1.7,408,79.15,38.36,2494152
"422","Marco Dawson",2012,1.762,285.9,56.04,71.9,16.88,358,573,23,0.15,419,76.3,47.5,79727
"423","Sergio Garcia",2012,1.762,292.4,61.15,70.68,35.9,396,576,19,4.73,441,77.99,56.36,2510115
"424","Dustin Johnson",2012,1.762,310.2,56.3,70.18,15.56,491,669,30,4.36,407,76.09,53.85,3393820
"425","Danny Lee",2012,1.763,291.9,57.44,70.83,20.31,459,670,38,0.73,435,74.67,47.06,359112
"426","Matt Bettencourt",2012,1.764,288.2,52.29,72.2,21.35,521,721,36,0.2,450,75.62,40,335075
"427","Brendon de Jonge",2012,1.764,288.8,63.42,70.17,27.06,748,NA,60,1.73,414,79.86,48.47,2015251
"428","Davis Love III",2012,1.764,296.3,59.11,70.72,26.79,446,662,31,1.14,412,75.99,50.43,989753
"429","Vaughn Taylor",2012,1.764,286,60.59,70.97,23.26,507,776,39,0.3,400,76.06,50,547128
"430","Ian Poulter",2012,1.765,285,65.13,70.8,27.27,426,545,22,5,428,73.53,56.12,1715271
"431","Mark Anderson",2012,1.767,295.7,52.23,71.56,22.73,496,680,53,0.36,457,76.98,53.62,441018
"432","David Mathis",2012,1.767,278.1,63.22,71.51,24.64,570,763,31,0.54,437,69.51,42.57,736765
"433","Tommy Biershenk",2012,1.768,285.4,57.22,72.4,24.05,495,671,38,0.1,442,71.27,38.53,107266
"434","Chris DiMarco",2012,1.768,273,69.24,71.51,32.18,579,780,40,0.4,430,68.99,60.13,468297
"435","Derek Lamely",2012,1.768,289.1,52.08,71.72,27.45,461,612,34,0.12,479,73.56,45.36,185479
"436","Garth Mulroy",2012,1.768,293.7,60.1,71.12,28.57,399,585,31,1.08,428,76.2,40,277632
"437","Gavin Coles",2012,1.769,271.2,65.08,71.01,26.87,496,646,39,0.31,410,72.17,54.35,247561
"438","John Huh",2012,1.769,288.3,68.69,70.75,26.19,686,NA,54,2.01,437,73.68,51.03,2692113
"439","Pat Perez",2012,1.769,291.5,62.33,70.61,27.14,584,777,41,1.18,433,76.5,50.76,1064052
"440","Dicky Pride",2012,1.769,285.9,61.38,70.91,35.29,376,562,22,0.89,423,75.65,51.72,1259711
"441","John Senden",2012,1.769,291,65.93,70.35,36.96,526,826,38,2.85,447,78.21,48.82,1916651
"442","Rory Sabbatini",2012,1.77,287.4,61.04,71.29,25.88,622,819,52,1.23,432,73.6,48.99,1128819
"443","Bubba Watson",2012,1.77,315.5,58.84,69.98,27.27,423,721,31,5.29,432,79.49,39.33,4644996
"444","Lee Westwood",2012,1.77,298.1,62.17,70.78,10,349,583,36,6.03,421,81.49,54.44,3016569
"445","Chris Kirk",2012,1.771,291.8,59.7,70.63,26.74,615,900,57,1.39,423,77.18,47.26,1197562
"446","Richard Lee",2012,1.771,285.6,68.72,70.46,20,441,692,28,0.1,429,76.6,43.18,547732
"447","Bryce Molder",2012,1.772,277.5,61.59,71.06,40,562,810,34,1.16,421,75.15,48.31,1166115
"448","Martin Flores",2012,1.773,295,53.58,70.79,26.8,659,947,39,0.68,445,74.86,60.15,1035569
"449","Rickie Fowler",2012,1.773,293.2,64.43,71.22,34.72,588,844,47,3.37,423,75.27,48.63,3066292
"450","Jim Furyk",2012,1.774,280,70.71,70.1,28,582,890,26,3.83,394,76.33,65.15,3623804
"451","Michael Thompson",2012,1.774,283.4,59.43,71.23,20.55,577,805,39,1.67,421,75.38,53.45,1408373
"452","J.B. Holmes",2012,1.775,309.7,54.4,71.06,24.44,586,827,49,1.28,444,76.92,49.34,1179505
"453","Martin Laird",2012,1.775,298.2,59.16,71.4,29.31,505,741,56,1.97,466,77.15,43.24,2172883
"454","William McGirt",2012,1.775,285.4,60.58,70.77,25.64,633,969,38,0.9,422,76.29,46.1,1228947
"455","Chris Stroud",2012,1.775,286.6,62.31,70.88,31.87,610,875,40,0.71,427,76.1,50.43,903569
"456","Edward Loar",2012,1.777,295.6,56.01,71.88,10.17,353,567,27,0.34,457,76.14,52.7,97946
"457","Nick Watney",2012,1.777,296.8,58.86,70.91,33.33,657,956,60,4.54,417,79.72,47.22,3044223
"458","Bud Cauley",2012,1.778,291.6,60.33,70.53,25.47,705,996,53,2,417,78.37,60.84,1774478
"459","Chris Couch",2012,1.778,293.8,65.49,70.88,18.87,432,597,22,0.37,431,70.76,37.89,335847
"460","Ryuji Imada",2012,1.778,276.4,56.13,71.87,34.23,570,734,46,0.26,457,73.28,52.63,238647
"461","Will Claxton",2012,1.779,290.4,65.36,70.33,28.4,627,NA,55,0.69,424,78.41,42.31,780968
"462","Hunter Haas",2012,1.779,287.6,61.82,71.58,16,450,637,31,0.28,447,75.37,42.4,399363
"463","Erik Compton",2012,1.78,297.2,58.33,71.45,25,520,736,39,0.37,456,73.95,48.41,359764
"464","Seung-Yul Noh",2012,1.78,300.4,59.34,70.5,23.81,655,NA,43,1.6,444,76.74,48.25,1629750
"465","Justin Rose",2012,1.78,290.9,65.82,70.22,36.96,463,709,37,6.42,415,79.81,62.81,4290929
"466","Charl Schwartzel",2012,1.78,295.8,61.41,70.85,28.57,388,547,22,4.9,404,73.87,51.81,1138844
"467","David Toms",2012,1.78,275.5,69.75,70.9,31.71,412,593,31,2.68,415,75.04,59.21,1658428
"468","Blake Adams",2012,1.781,288.4,65.83,70.8,20.2,686,NA,59,1.18,439,75.37,46.35,1234344
"469","Stuart Appleby",2012,1.781,283.3,65.45,70.83,29.85,507,728,34,0.46,434,73.92,54.31,377559
"470","Harris English",2012,1.781,300.3,59.47,70.89,26.37,648,NA,55,1.18,443,77.37,46.54,1186003
"471","Kevin Kisner",2012,1.781,287.9,61.1,71.05,30.36,437,630,19,0.33,440,70.77,45.45,346215
"472","Jerry Kelly",2012,1.782,276.1,73,70.81,21.43,565,820,43,0.72,438,72.85,53.02,645700
"473","Bill Lunde",2012,1.783,290.5,59.1,70.95,21.21,523,753,57,0.46,420,77.63,57.39,593598
"474","Daniel Summerhays",2012,1.783,289.3,61.93,70.81,27.42,496,828,41,0.78,437,76.61,45.74,1111521
"475","Jonathan Byrd",2012,1.784,289.5,57.88,71.21,29.41,483,687,41,1.61,444,72.6,52.89,1616789
"476","Robert Garrigus",2012,1.784,310.3,56.58,70.38,23.73,608,908,65,2.84,410,82.31,44.52,3206530
"477","Robert Karlsson",2012,1.784,294.7,55.22,71.83,18.75,385,494,47,1.36,443,76.62,51.58,393340
